nodedef> name VARCHAR,label VARCHAR,width DOUBLE,height DOUBLE,x DOUBLE,y DOUBLE
5288126e979dc_5288126e979dc,5288126e979dc,NaN,NaN,0.30107546,0.55383873
5288126ea25b7_5288126ea25b7,5288126ea25b7,NaN,NaN,0.2993719,0.49286073
5288126f2ca7b_5288126f2ca7b,5288126f2ca7b,NaN,NaN,0.28883246,0.51671875
5288126f51834_5288126f51834,5288126f51834,NaN,NaN,0.28816664,0.5404035
5288126f66843_5288126f66843,5288126f66843,NaN,NaN,0.26956442,0.5621531
5288126f9b790_5288126f9b790,5288126f9b790,NaN,NaN,0.2975743,0.5276652
5288126fd555c_5288126fd555c,5288126fd555c,NaN,NaN,0.29301482,0.50232404
528812700166f_528812700166f,528812700166f,NaN,NaN,0.25819388,0.53626794
528812701c409_528812701c409,528812701c409,NaN,NaN,0.27456588,0.48403403
5288127084fa8_5288127084fa8,5288127084fa8,NaN,NaN,0.2693261,0.5137931
52881270bcdd0_52881270bcdd0,52881270bcdd0,NaN,NaN,0.350259,0.2957806
528812710b5c0_528812710b5c0,528812710b5c0,NaN,NaN,0.27996448,0.53699857
528812714dc0e_528812714dc0e,528812714dc0e,NaN,NaN,0.2632374,0.5562815
52881271bd0f2_52881271bd0f2,52881271bd0f2,NaN,NaN,0.2802102,0.54630697
528812720c49d_528812720c49d,528812720c49d,NaN,NaN,0.3030907,0.5187135
5288127233962_5288127233962,5288127233962,NaN,NaN,0.29526836,0.4779209
52881272a39fa_52881272a39fa,52881272a39fa,NaN,NaN,0.27674055,0.5188919
52881272ae9f4_52881272ae9f4,52881272ae9f4,NaN,NaN,0.26709852,0.5223566
52881272bf736_52881272bf736,52881272bf736,NaN,NaN,0.2951342,0.54547834
528812730e6f8_528812730e6f8,528812730e6f8,NaN,NaN,0.25855193,0.52703303
528812735b532_528812735b532,528812735b532,NaN,NaN,0.29442,0.43939444
5288127396e27_5288127396e27,5288127396e27,NaN,NaN,0.26391882,0.56807584
52881273b71a5_52881273b71a5,52881273b71a5,NaN,NaN,0.31460527,0.54076135
52881273e76ec_52881273e76ec,52881273e76ec,NaN,NaN,0.31018016,0.54935503
52881273f2300_52881273f2300,52881273f2300,NaN,NaN,0.34359723,0.29882932
5288127428fed_5288127428fed,5288127428fed,NaN,NaN,0.26147068,0.5462929
5288127433bb7_5288127433bb7,5288127433bb7,NaN,NaN,0.29521802,0.5352345
